Company,Contract Type,Clause,Content,Embedding Shape
"Donaldson, Barber and Long",CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
"Donaldson, Barber and Long",CA,liability cap,Liability Cap,"torch.Size([1, 768])"
"Donaldson, Barber and Long",CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Price-Brown,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Price-Brown,CDA,confidentiality,The Receiving Party will make commercially reasonable efforts to ensure confidentiality of the shared,"torch.Size([1, 768])"
Price-Brown,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Price-Brown,CA,confidentiality,The Consultant will bear full liability for any instances of gross negligence or breaches of confidentiality.,"torch.Size([1, 768])"
Price-Brown,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Price-Brown,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Daniel-Young,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Daniel-Young,WO,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Daniel-Young,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Daniel-Young,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Daniel-Young,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Daniel-Young,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Rose-Allen,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Rose-Allen,CA,confidentiality,"The Consultant’s liability is unlimited in cases of gross negligence, willful misconduct, or confidentiality","torch.Size([1, 768])"
Rose-Allen,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Rose-Allen,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
Rose-Allen,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Rose-Allen,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Rose-Allen,MSA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Rose-Allen,MSA,confidentiality,The Consultant will bear full liability for any instances of gross negligence or breaches of confidentiality.,"torch.Size([1, 768])"
Rose-Allen,MSA,liability cap,Liability Cap,"torch.Size([1, 768])"
Rose-Allen,MSA,payment terms,Payment Terms,"torch.Size([1, 768])"
Hanson-Meza,WO,confidentiality,Confidentiality,"torch.Size([1, 768])"
Hanson-Meza,WO,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Hanson-Meza,WO,payment terms,Payment Terms,"torch.Size([1, 768])"
Hanson-Meza,CDA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Hanson-Meza,CDA,confidentiality,The Receiving Party shall use reasonable efforts to maintain confidentiality of shared information.,"torch.Size([1, 768])"
Hanson-Meza,CDA,liability cap,Liability Cap,"torch.Size([1, 768])"
Villanueva Group,CA,confidentiality,Confidentiality,"torch.Size([1, 768])"
Villanueva Group,CA,confidentiality,The Receiving Party will make commercially reasonable efforts to ensure confidentiality of the shared,"torch.Size([1, 768])"
Villanueva Group,CA,confidentiality,"The Consultant’s liability is unlimited in cases of gross negligence, willful misconduct, or confidentiality","torch.Size([1, 768])"
Villanueva Group,CA,liability cap,Liability Cap,"torch.Size([1, 768])"
Villanueva Group,CA,payment terms,Payment Terms,"torch.Size([1, 768])"
